Year,Annual_Rain,Jun_Sep_Rain,Jun_Sep_Cloud,Jun_Sep_Wdf,Jun_Sep_Mtemp,Ann_Cloud,Ann_Wdf,Ann_Mtemp
1901,943.221,795.358,256.756,39.8311,106.982,449.497,51.3573,228.07
1902,1029.507,993.639,256.756,40.2645,104.083,449.497,46.8777,230.297
1903,868.585,797.104,256.756,37.8379,106.229,449.497,46.0534,225.867
1904,1140.183,958.991,256.756,41.1237,100.104,449.497,52.8891,223.366
1905,887.447,824.741,256.756,39.7216,105.17,449.497,49.1932,217.659
1906,877.767,822.113,256.756,42.146,102.562,449.497,51.2373,226.678
1907,839.585,716.087,256.756,36.6973,106.767,449.681,47.8919,226.446
1908,952.609,894.945,256.756,39.2979,105.058,449.497,47.7641,229.343
1909,1245.627,1180.66,256.756,44.7496,97.581,449.497,53.8481,221.712
1910,957.997,793.019,256.756,42.1719,101.539,449.497,52.8338,221.612
1911,1068.928,814.897,256.756,38.7947,102.336,449.497,52.4,225.192
1912,809.379,746.552,256.756,37.9747,103.349,449.497,46.9182,225.749
1913,860.68,717.72,256.723,39.5456,100.178,449.464,52.2274,221.825
1914,1060.729,974.059,256.625,42.5389,102.075,449.366,53.4327,226.423
1915,1281.83,1031.61,256.449,42.188,102.904,449.19,58.3334,227.936
1916,1261.929,1162.135,256.756,47.8146,97.903,450.22,55.9411,221.374
1917,1262.526,1063.392,256.491,45.3628,99.529,449.196,59.4941,212.888
1918,817.708,807.644,257.061,37.0897,102.224,450.334,42.3859,223.864
1919,1101.682,948.706,256.682,44.2961,101.486,448.816,58.0678,222.358
1920,995.523,944.961,256.725,40.8579,102.954,449.559,47.6702,225.82
1921,938.055,860.952,257.204,42.1705,102.546,449.628,47.7293,233.064
1922,1281.143,1208.817,256.798,49.7989,98.86,449.935,59.5958,224.215
1923,1071.129,1000.728,256.756,43.9722,104.329,448.569,53.1673,228.327
1924,1084.455,1005.562,256.798,42.1189,103.437,449.521,52.9552,229.158
1925,1566.075,1494.794,256.382,49.5787,99.283,447.158,56.3294,217.533
1926,952.155,816.847,256.798,40.1761,105.276,450.321,53.5435,220.982
1927,1149.278,955.041,256.756,41.405,103.682,449.49,56.2053,223.237
1928,651.316,483.856,256.756,34.7429,102.612,449.497,48.2805,229.461
1929,1314.513,1127.913,256.665,41.5649,102.196,449.202,54.5695,225.566
1930,1035.309,938.12,256.883,42.4934,101.555,448.662,54.4151,223.961
1931,1038.654,902.658,247.936,44.1059,105.178,423.266,56.5298,232.132
1932,838.098,785.488,245.254,39.5302,105.221,404.305,46.3764,229.887
1933,878.048,728.971,258.867,43.3089,100.872,432.241,55.5664,218.398
1934,897.558,815.134,247.613,45.5041,102.183,419.242,55.5435,225.88
1935,1183.256,1131.815,240.397,45.6337,102.347,412.056,53.2135,223.171
1936,1385.998,1262.961,256.148,48.2548,98.245,430.832,61.3337,220.906
1937,1069.425,945.309,246.256,41.4433,100.676,417.683,52.8833,217.649
1938,1382.916,1257.028,247.318,45.8477,99.005,423.758,56.0134,222.523
1939,1285.274,1219.299,249.924,46.6439,99.607,415.078,55.4059,223.735
1940,931.786,826.475,247.516,41.5129,103.346,424.445,53.6053,223.971
1941,719.879,659.52,255.2,36.8021,102.886,423.284,45.168,233.415
1942,1088.581,934.489,253.764,44.5176,102.682,428.399,56.2651,230.503
1943,1214.438,1161.754,250.494,45.0919,102.725,414.182,53.6018,231.579
1944,1220.444,1062.18,249.858,44.481,102.024,420.01,58.8411,225.658
1945,869.784,752.22,250.477,42.5062,105.314,414.83,54.0855,223.028
1946,1163.349,1048.741,251.406,45.6346,101.105,410.723,57.7197,229.275
1947,989.281,925.183,249.512,43.6562,104.018,408.499,54.7504,233.203
1948,1557.164,1442.545,248.68,49.1348,102.081,428.692,60.0657,229.947
1949,1098.288,972.139,247.917,45.2889,103.642,410.659,55.9604,229.294
1950,1098.771,974.991,256.147,42.174,101.279,406.117,52.7861,222.239
1951,1146.787,1041.015,243,41.8507,102.928,398.338,53.2554,227.674
1952,965.74,885.946,258.805,40.2994,100.676,434.518,49.9824,230.759
1953,1171.581,1099.447,268.792,44.0571,100.154,458.576,52.1344,232.304
1954,963.122,904.077,267.952,41.8075,103.262,466.595,49.9436,228.845
1955,1153.94,970.513,274.254,43.5281,100.603,487.727,55.9379,225.939
1956,1520.662,1244.179,278.28,47.1448,97.416,501.217,62.3457,225.811
1957,984.709,908.494,252.001,42.0304,103.003,446.823,51.4466,228.147
1958,891.882,757.292,263.136,40.581,104.806,479.055,52.9056,239.698
1959,950.129,705.623,267.406,38.7824,103.134,484.688,50.2885,231.558
1960,1242.595,1165.784,262.498,43.6734,103.673,444.138,52.5613,228.962
1961,1187.134,1063.64,270.147,46.0464,101.919,509.635,57.2125,225.532
1962,1121.945,1048.476,259.307,44.2547,105.619,457.536,55.2936,229.253
1963,1366.902,1262.616,247.197,46.8885,101.03,416.992,60.0741,226.708
1964,1021.952,973.101,256.52,43.2387,101.209,419.635,51.6022,227.54
1965,650.656,558.22,235.143,32.8487,104.315,406.897,43.3799,229.984
1966,749.584,635.929,244.414,32.7963,104.811,392.204,42.4315,236.823
1967,1309.116,1211.348,257.173,46.8451,102.263,439.061,56.982,225.726
1968,546.917,477.22,255.06,35.8363,102.422,444.41,44.6013,224.663
1969,1019.487,958.744,262.342,42.2174,102.23,444.042,49.5353,233.027
1970,1549.716,1364.087,266.965,48.3173,99.838,465.091,59.7868,225.128
1971,1436.578,1243.889,275.849,47.4401,95.806,486.746,60.0306,214.252
1972,838.534,626.043,239.29,34.9335,101.844,421.371,47.9882,221.811
1973,1254.06,1160.881,265.022,44.0789,99.955,457.513,50.7562,225.418
1974,813.122,789.464,245.375,37.0371,98.708,419.908,43.2802,221.111
1975,975.931,885.029,260.48,41.6908,99.311,461.322,52.3169,225.957
1976,838.287,779.044,255.038,39.9707,102.148,436.164,47.6299,228.631
1977,1100.788,941.31,262.268,42.2986,101.138,460.012,56.252,231.094
1978,1122.612,957.209,268.8,42.2425,101.885,484.496,57.7329,228.694
1979,790.802,648.875,227.903,35.419,102.577,432.902,45.5269,235.98
1980,1593.708,1550.228,269.402,49.3834,98.608,458.769,55.8557,231.1
1981,1280.015,1206.034,256.484,46.9345,100.897,460.377,56.9975,225.257
1982,1419.162,1179.287,250.487,46.4441,100.888,456.847,62.8984,224.853
1983,797.141,691.575,253.909,38.1608,102.462,454.38,49.3216,220.341
1984,914.081,790.104,259.23,38.9262,98.792,446.092,49.3413,225.762
1985,979.128,856.905,258.783,40.8587,102.687,444.575,50.5575,234.588
1986,1037.911,887.729,251.032,41.4983,97.912,443.345,54.3293,222.783
1987,599.3,452.509,255.637,31.3493,106.466,448.53,43.4972,232.124
1988,902.08,811.637,265.645,39.4983,101.726,463.563,50.0661,233.648
1989,838.291,756.744,259.425,38.5001,100.19,468.603,48.6982,226.87
1990,1246.835,1176.266,268.272,48.2089,99.996,483.762,57.9209,227.869
1991,544.122,452.196,256.756,30.6553,101.328,449.497,42.2033,228.173
1992,614.475,472.162,256.756,30.7601,100.78,449.497,41.2533,227.905
1993,653.037,577.897,256.756,33.9584,104.17,449.497,42.1736,232.15
1994,1212.907,1059.583,256.756,45.8937,101.264,449.497,59.199,233.362
1995,853.572,710.13,256.756,38.4783,103.321,455.06,52.0108,230.324
1996,1096.898,937.164,239.847,42.0971,100.807,420.855,53.3331,227.954
1997,755.498,639.437,227.199,32.3779,104.533,416.14,44.8299,227.79
1998,1130.671,1040.06,250.989,40.5733,103.699,456.023,52.515,234.529
1999,1045.234,895.353,264.262,39.0219,100.578,475.439,49.2316,233.632
2000,843.964,809.147,242.817,37.1148,99.19,395.45,42.6504,230.628
2001,802.178,695.442,247.949,35.9506,100.239,447.324,46.7126,227.744
2002,766.871,613.481,248.167,34.21,104.008,434.432,47.4617,233.099
