Year,Annual_Rain,Jun_Sep_Rain,Jun_Sep_Cloud,Jun_Sep_Wdf,Jun_Sep_Mtemp,Ann_Cloud,Ann_Wdf,Ann_Mtemp
1901,1435.606,432.485,265.546,20.2439,102.787,541.6,49.3965,281.748
1902,1311.098,413.178,265.546,22.9976,102.464,541.6,56.7236,279.323
1903,1996.899,608.621,265.546,24.4321,99.336,541.6,59.044,275.254
1904,611.492,327.055,265.546,17.0857,103.265,541.6,34.529,278.944
1905,1080.11,336.971,265.546,19.4379,105.975,541.6,44.5366,281.869
1906,1215.773,525.529,265.546,25.4403,101.123,541.6,53.5697,281.434
1907,1007.995,291.874,265.546,20.1671,103.888,541.6,47.851,280.357
1908,1137.996,432.995,265.546,21.616,102.577,541.6,43.3399,278.547
1909,909.671,513.645,265.546,25.4964,99.087,541.6,46.4097,277.974
1910,1118.431,508.963,265.546,23.9495,99.524,541.6,48.0363,276.412
1911,931.799,327.592,265.546,20.6235,104.606,541.6,44.9766,281.63
1912,1333.648,370.401,265.546,21.3927,104.442,541.6,45.5543,282.689
1913,1218.168,211.28,265.546,17.0464,104.565,541.6,44.6908,282.989
1914,1324.335,506.169,265.546,23.853,102.455,541.6,49.0416,279.931
1915,1205.915,500.081,265.546,22.482,102.753,541.6,51.7132,283.763
1916,1188.464,450.007,265.546,23.718,101.23,541.6,48.8748,278.065
1917,1159.454,519.718,265.546,24.5226,98.399,541.6,48.426,273.475
1918,1419.269,239.578,265.546,17.0148,103.581,541.6,45.0643,278.365
1919,1187.692,491.45,265.546,21.2808,101.677,541.6,52.6029,282.476
1920,1159.676,191.658,265.546,17.7474,105.065,541.6,42.6585,284.528
1921,1188.382,524.385,265.546,24.5265,101.612,541.6,47.9953,279.271
1922,1436.348,342.714,265.546,20.0593,103.689,541.6,49.1924,279.712
1923,697.054,224.038,265.546,19.2961,105.43,541.6,44.2246,281.853
1924,1041.266,558.97,265.546,22.7332,102.089,541.6,47.5233,279.66
1925,1437.48,349.333,265.546,22.348,102.088,541.6,54.9637,275.594
1926,713.143,279.478,265.546,20.909,102.965,541.6,44.3818,281.539
1927,858.11,382.5,265.546,21.7052,102.964,541.6,44.1932,283.68
1928,1233.581,443.859,265.546,22.0566,103.164,541.6,48.5919,283.274
1929,1042.775,339.646,265.546,19.9263,102.864,541.6,48.5806,279.489
1930,1708.975,310.988,265.546,18.753,102.077,541.6,54.3931,276.147
1931,1378.476,503.624,258.046,21.5718,102.588,521.064,49.6859,280.624
1932,950.927,269.853,277.517,17.5924,102.665,581.006,43.3283,277.746
1933,846.138,211.914,263.158,19.4231,103.1,536.478,43.731,277.747
1934,979.638,317.646,259.258,18.7606,102.189,530.894,42.193,276.823
1935,1023.888,483.665,264.37,20.1274,102.399,545.147,39.1085,280.398
1936,1029.457,398.042,262.112,21.2066,101.545,543.242,50.9719,280.98
1937,1386.322,408.863,262.071,18.9866,103.176,534.078,47.809,280.035
1938,817.17,517.692,266.046,24.402,100.623,535.951,41.7018,281.023
1939,904.867,222.768,261.746,16.867,104.742,539.252,44.9577,280.177
1940,1242.282,333.418,271.469,20.1824,103.311,551.322,50.3405,280.094
1941,1244.076,407.023,270.133,21.0832,105.153,563.286,50.6675,285.677
1942,800.559,320.985,264.37,22.8113,103.912,540.753,44.896,281.681
1943,1618.694,353.327,268.703,20.4131,100.835,546.933,54.2076,275.672
1944,1590.176,540.535,258.422,24.4824,100.47,530.465,56.78,277.63
1945,897.37,459.797,258.621,20.1788,102.023,531.801,38.2462,278.225
1946,1938.31,440.477,271.922,20.247,101.023,557.399,55.7458,277.857
1947,780.881,421.936,264.994,25.5831,101.612,547.017,49.0194,278.936
1948,890.595,330.695,262.558,21.7202,103.612,532.424,47.7885,283.387
1949,996.282,622.737,268.016,27.3813,98.182,532.367,44.4391,274.564
1950,774.492,404.63,267.124,20.8309,100.988,537.013,45.2777,276.833
1951,707.588,356.628,259.693,20.983,102.5,528.266,42.6798,280.322
1952,873.301,248.788,252.846,17.2821,103.487,512.887,43.5643,283.611
1953,963.751,333.553,259.623,21.6188,104,523.154,43.2652,285.558
1954,980.288,404.994,264.312,22.6393,100.811,529.813,46.8148,279.923
1955,1198.965,472.094,280.758,21.1877,97.523,568.052,48.0858,272.044
1956,1257.903,588.293,283.311,24.2732,97.7,566.753,53.0594,273.837
1957,997.728,402.694,279.382,21.8465,99.377,562.789,44.4632,276.005
1958,1169.172,303.546,272.447,20.8917,103.806,567.131,49.3082,284.734
1959,959.574,288.661,276.634,19.8556,100.624,552.965,46.0193,281.102
1960,1403.478,478.785,268.445,23.0791,101.801,551.516,47.8628,279.989
1961,1130.171,681.747,279.234,27.112,98.134,579.765,51.8949,277.932
1962,1256.481,559.34,272.076,22.3675,98.835,556.289,53.157,275.434
1963,1199.694,387.807,262.039,24.2479,101.356,537.446,52.584,277.965
1964,1162.058,458.319,264.222,24.501,100.834,525.84,44.5824,283.18
1965,1172.14,476.165,249.87,24.3231,101.088,519.378,49.8006,280.588
1966,1576.317,608.121,261.959,25.0496,100.066,533.335,54.9875,282.229
1967,1246.332,504.065,264.857,21.8788,99.511,524.235,49.9762,276.911
1968,733.243,224.889,263.941,17.8827,104.43,537.531,41.9527,282.66
1969,1372.513,323.091,261.387,17.8921,103.2,534.475,49.2814,283.563
1970,1140.965,539.187,268.645,22.5864,99.458,545.258,47.1722,278.469
1971,1068.923,372.593,265.087,20.6829,99.299,532.233,51.3843,276.387
1972,1373.176,328.578,255.711,20.3219,104.667,537.244,51.778,281.391
1973,960.332,518.582,275.864,24.2073,102.123,548.546,44.9694,283.753
1974,865.453,503.443,260.681,21.2983,100.488,513.594,40.0222,276.387
1975,1306.012,601.728,276.765,24.7439,99.012,557.572,49.6013,278.312
1976,1628.862,678.684,244.563,22.2414,100.123,505.48,47.6975,280.098
1977,1454.114,456.09,269.777,20.9797,101.876,564.806,51.2938,280.898
1978,1374.062,561.08,276.465,24.1176,101.113,570.992,54.7558,282.569
1979,1234.909,374.23,268.287,19.292,102.801,561.811,49.4336,285.572
1980,974.252,322.523,267.899,20.8857,102.524,533.225,44.2877,285.2
1981,1265.363,623.604,267.046,25.6851,100.688,546.036,55.2817,280.111
1982,881.11,402.728,265.546,18.9379,103.172,544.277,42.5077,284.706
1983,1362.95,600.163,264.546,27.9394,101.971,543.242,51.5535,285.794
1984,1217.832,511.263,266.946,22.0809,101.488,542.024,48.2344,281.369
1985,1798.508,712.883,265.546,27.9325,99.635,540.635,59.0137,281.404
1986,948.92,228.778,264.67,18.1571,105.089,540.947,48.5857,285.821
1987,1091.653,278.935,264.957,17.9485,105.211,541.799,46.6321,286.493
1988,1388.119,717.267,266.033,29.8207,101.898,543.365,53.9883,286.17
1989,1199.928,527.555,265.546,24.9897,101.045,540.898,48.4872,281.29
1990,1123.672,394.201,265.546,20.3895,102.311,544.231,51.9697,285.192
1991,1009.509,405.541,265.546,22.3197,102.171,541.6,46.8277,286.518
1992,946.102,300.433,265.546,21.363,103.912,541.6,44.9197,284.557
1993,1494.64,447.057,265.546,22.2892,102.835,541.6,53.6194,284.034
1994,1168.83,305.987,265.546,19.4068,103.47,541.6,48.5488,285.84
1995,1217.903,743.072,265.546,25.3823,102.6,541.6,51.8191,284.193
1996,1511.767,530.113,278.412,26.0933,100.989,526.188,55.694,284.7
1997,1498.544,282.628,267.199,20.7376,104.912,529.295,54.8165,287.369
1998,1076.957,345.793,278.112,21.741,104.635,541.769,48.4054,292.392
1999,912.405,438.925,254.918,20.7968,100.947,512.019,44.4812,284.082
2000,1022.443,494.678,271.682,23.771,101.459,528.556,47.9953,285.502
2001,1204.527,396.035,278.353,22.6444,104.288,560.043,48.0255,289.586
2002,1111.636,351.13,262.052,18.6426,105.4,551.573,45.6351,289.445
