Year,Annual_Rain,Jun_Sep_Rain,Jun_Sep_Cloud,Jun_Sep_Wdf,Jun_Sep_Mtemp,Ann_Cloud,Ann_Wdf,Ann_Mtemp
1901,443.521,387.798,202.528,19.8613,108.618,385.952,27.9392,224.763
1902,537.28,520.972,201.476,23.7609,104.891,386.092,28.3114,226.34
1903,287.488,268.735,203.903,18.1583,109.282,387.817,23.3001,220.138
1904,590.576,501.646,202.475,23.6567,103.173,386.762,31.6169,218.319
1905,264.382,216.185,203.375,15.4065,109.518,387.991,24.2249,217.347
1906,613.296,548.504,203.502,24.5985,103.528,386.528,31.5855,219.481
1907,276.614,190.995,203.993,16.1594,107.573,430.053,25.239,216.155
1908,900.27,850.462,202.203,27.8404,102.844,426.165,34.0714,217.67
1909,720.023,617.468,202.194,25.7125,99.448,384.598,35.8553,211.386
1910,492.475,456.213,202.874,23.0339,103.072,386.916,29.9354,215.379
1911,462.406,326.527,203.083,18.1579,107.799,387.24,26.5352,222.592
1912,649.645,566.859,202.012,24.1523,105.327,383.866,33.6834,221.764
1913,359.19,287.223,201.439,18.3637,104.273,384.318,28.4936,218.895
1914,666.308,594.728,200.657,25.3804,103.174,382.492,34.7136,219.22
1915,385.784,253.148,199.731,17.3549,109.818,380.553,29.1543,228.463
1916,624.592,583.368,202.693,27.9159,101.827,386.189,33.2524,219.118
1917,687.436,612.286,199.904,29.3488,99.18,378.757,39.9565,204.272
1918,255.612,233.141,199.757,15.3233,110.272,382.155,20.8485,225.121
1919,399.771,328.518,201.703,20.7245,105.2,381.5,30.1735,217.902
1920,473.536,431.317,202.682,21.967,105.289,385.789,29.1357,221.119
1921,561.749,528.197,200.44,22.4157,107.343,382.583,27.5317,235.805
1922,485.089,450.937,202.622,22.8883,102.517,386.39,28.8188,221.219
1923,610.733,525.239,205.066,21.8083,106.009,384.91,31.8095,220.638
1924,652.915,551.774,203.185,22.7694,105.281,382.311,33.4065,217.642
1925,478.569,410.047,198.727,23.733,100.334,374.616,29.329,212.825
1926,600.586,530.94,203.584,23.7022,104.756,385.801,32.8614,211.549
1927,449.006,358.388,203.003,19.9003,102.308,387.11,28.1998,211.598
1928,272.737,150.597,203.821,16.5425,107.48,388.655,28.2587,225.917
1929,266.333,227.317,202.631,19.5559,104.992,382.557,25.1607,223.483
1930,502.5,425.868,205.211,23.4956,101.117,385.189,33.0335,215.563
1931,519.091,453.017,176.285,22.2237,104.712,310.676,30.5473,218.484
1932,412.075,386.005,176.811,19.7869,104.455,292.148,26.1048,219.727
1933,1043.242,969.837,206.375,29.1939,97.347,355.655,39.8115,204.768
1934,610.544,543.131,183.347,23.3322,101.591,309.161,29.9391,214.667
1935,548.595,460.815,161.867,23.1956,103.263,312.192,34.0381,214.89
1936,702.919,634.01,198.702,26.6865,98.636,345.618,35.9583,214.157
1937,424.309,346.813,174.96,19.6915,104.847,322.66,28.4336,213.078
1938,258.851,198.747,183.002,19.4032,24.436,317.181,27.3647,73.308
1939,346.299,311.784,182.976,20.3295,104.371,311.147,25.2332,219.935
1940,459.624,390.644,185.675,19.9368,104.082,328.729,27.0536,218.819
1941,276.313,206,192.423,16.6509,105.763,321.867,23.4674,232.691
1942,688.904,639.415,191.011,26.6499,100.291,339.411,35.6285,219.69
1943,361.639,336.283,186.838,22.697,101.755,304.575,27.1436,218.198
1944,746.084,570.827,183.012,23.2441,101.672,314.955,34.7298,216.344
1945,614.819,575.596,186.556,25.0175,103.673,314.919,31.6444,213.627
1946,521.425,497.546,188.675,22.6172,102.91,314.49,28.0361,221.747
1947,392.868,344.821,179.083,20.7338,107.637,293.089,28.3284,226.726
1948,739.255,649.322,188.174,25.9423,104.017,350.883,36.9693,221.698
1949,634.422,603.823,185.192,24.4166,105.301,320.97,30.6505,225.121
1950,760.243,723.168,208.12,26.0118,102.52,353.563,31.9089,212.622
1951,373.021,270.636,182.048,19.3525,107.053,340.262,28.5603,224.839
1952,420.484,349.797,196.031,20.0321,104.145,343.558,28.2046,229.301
1953,577.223,519.39,211.358,24.7016,104.428,367.128,31.3501,232.691
1954,414.389,321.152,204.366,20.587,108.429,390.724,29.3707,226.996
1955,619.234,525.488,213.256,25.4385,105.017,410.536,34.7732,220.219
