Year,Annual_Rain,Jun_Sep_Rain,Jun_Sep_Cloud,Jun_Sep_Wdf,Jun_Sep_Mtemp,Ann_Cloud,Ann_Wdf,Ann_Mtemp
1901,547.697,482.253,209.294,114.785,109.393,398.945,201.635,226.569
1902,547.697,600.113,208.06,108.858,105.344,398.882,196.656,227.469
1903,334.454,303.222,210.31,114.969,109.718,400.497,199.583,221.734
1904,713.167,621.349,208.938,108.405,103.521,399.384,195.045,219.588
1905,322.773,260.529,209.857,115.091,109.548,400.679,195.672,217.466
1906,703.643,634.629,209.91,109.111,104.233,399.249,194.764,220.916
1907,328.812,231.826,210.339,113.639,108.385,403.094,196.161,217.886
1908,916.303,861.75,208.591,108.305,103.775,399.735,194.582,220.003
1909,802.14,692.442,208.63,105.91,100.812,397.513,190.432,214.263
1910,596.372,552.624,209.34,107.683,103.96,399.776,192.811,217.586
1911,559.23,411.342,209.493,113.711,108.026,399.864,200.062,223.731
1912,754.193,659.756,208.492,110.776,105.947,396.681,196.941,222.676
1913,410.654,329.684,207.926,110.078,105.442,397.442,194.613,220.066
1914,789.23,710.455,207.052,107.972,104.019,395.27,193.27,220.332
1915,508.313,371.509,206.252,115.996,109.82,393.449,204.447,229.426
1916,716.583,668.746,209.171,107.395,102.795,398.924,194.663,221.605
1917,776.146,681.39,206.346,106.659,100.391,391.56,186.347,206.136
1918,302.357,271.559,206.08,116.572,110.585,395.059,202.103,226.1
1919,460.115,378.995,208.125,109.972,105.55,394.284,193.663,218.438
1920,535.506,488.67,208.99,111.533,105.524,398.294,197.173,222.114
1921,650.287,605.895,206.798,87.727,107.01,395.289,206.511,235.742
1922,616.374,570.456,209.069,107.852,102.888,398.987,194.445,222.182
1923,678.868,583.447,211.435,111.753,106.822,397.626,197.216,222.367
1924,774.985,659.865,209.551,111.249,106,395.004,196.833,219.534
1925,583.937,512.529,205.002,105.746,101.125,387.304,190.374,214.528
1926,667.68,588.091,209.953,111.251,105.679,398.512,191.759,213.17
1927,543.23,432.199,209.709,107.829,103.314,400.031,191.393,213.538
1928,319.189,179.662,210.138,113.2,108.093,401.072,201.646,227.157
1929,324.871,270.972,208.952,109.442,105.526,394.984,197.023,224.223
1930,581.152,492.336,211.214,106.286,102.342,397.47,191.243,217.86
1931,600.11,515.801,183.353,110.126,105.812,322.163,195.817,220.881
1932,501.306,471.303,183.142,110.831,105.397,302.998,196.628,221.659
1933,1164.834,1071.816,210.996,105.485,98.569,364.619,187.917,207.253
1934,698.157,625.152,188.953,109.084,102.244,319.281,193.425,216.492
1935,618.816,525.409,169.215,109.474,104.078,324.184,193.595,216.386
1936,888.854,807.633,204.496,104.148,99.259,356.38,189.849,214.769
1937,509.267,421.467,182.122,110.661,105.489,335.221,192.363,214.213
1938,355.888,292.45,189.178,108.725,106.057,329.245,194.677,223.871
1939,413.086,372.434,189.383,109.427,104.624,322.009,195.657,220.879
1940,519.6,439.741,191.93,108.372,105.036,339.744,192.315,219.77
1941,327.736,252.155,198.945,110.295,106.675,333.084,202.161,233.884
1942,769.028,710.815,197.764,109.514,101.721,350.88,197.096,222.203
1943,447.734,416.389,193.388,107.51,102.679,316.794,194.465,220.297
1944,789.211,601.772,189.616,107.848,102.481,327.569,194.319,218.094
1945,706.236,661.272,194.194,108.566,104.939,329.044,190.341,215.989
1946,586.289,548.556,194.613,108.53,103.777,325.352,197.003,223.007
1947,497.527,438.93,186.338,109.828,108.286,306.851,196.886,228.02
1948,838.408,741.387,194.64,110.206,104.823,362.6,196.95,222.922
1949,727.021,687.494,191.54,109.182,105.92,332.456,196.907,225.85
1950,817.024,775.299,213.99,108.793,103.199,363.753,192.648,214.712
1951,440.828,328.402,188.876,110.243,107.45,349.587,196.693,225.969
1952,495.382,414.677,202.557,109.261,104.773,356.546,198.607,229.95
1953,646.942,584.981,218.397,109.258,105.323,381.639,200.445,233.745
1954,484.648,377.177,212.29,108.431,108.713,406.088,196.953,227.936
1955,723.858,608.438,220.767,109.218,105.619,426.39,194.791,221.466
1956,641.406,531.282,222.765,107.397,104.584,434.003,194.366,225.902
1957,721.703,587.081,202.46,108.076,104.302,415.387,193.753,217.714
1958,934.757,875.452,217.344,109.451,104.486,417.776,201.003,227.882
1959,549.13,479.373,222.765,108.366,105.38,428.411,196.902,225.481
1960,682.693,586.915,209.107,109.451,105.851,380.041,198.282,224.934
1961,980.321,846.062,224.879,107.777,105.189,447.38,193.443,221.489
1962,569.615,502.209,211.161,110.021,106.391,410.638,197.4,226.403
1963,712.608,656.387,206.946,111.06,105.125,396.271,199.797,223.593
1964,1076.575,1042.529,228.87,108.954,102.913,406.891,197.528,220.668
1965,535.86,494.874,198.324,110.649,106.571,397.393,198.067,224.382
1966,621.055,529.808,200.774,109.178,103.496,365.074,198.345,220.891
1967,944.332,836.119,208.048,107.722,102.669,399.622,193.247,215.53
1968,568.745,528.666,195.712,107.982,104.441,377.348,193.197,217.727
